id,slug,name,type,city,division_id,description,lat,lng,entrance_fee,is_free,unesco_listed
1,little-mermaid,The Little Mermaid (Den Lille Havfrue),Landmark,Copenhagen,1,"The iconic bronze statue by Edvard Eriksen sitting on a rock in Copenhagen harbour. Inspired by Hans Christian Andersen's fairy tale. Though small, it is Denmark's most photographed landmark",55.6929,12.5994,no,yes,no
2,tivoli,Tivoli Gardens,Theme Park / Garden,Copenhagen,1,"One of the world's oldest amusement parks (1843) and major inspiration for Walt Disney. A magical blend of rides, gardens, restaurants and entertainment. Transforms seasonally — summer, Halloween, Christmas",55.6736,12.5681,yes,no,no
3,nyhavn,Nyhavn,Historic District,Copenhagen,1,"17th-century waterfront canal lined with brightly coloured townhouses, restaurants and old wooden ships. Once a working port and haunt of Hans Christian Andersen — he lived at nos. 20, 67 and 18",55.6800,12.5900,no,yes,no
4,kronborg-castle,Kronborg Castle (Hamlet's Castle),Castle,Helsingør,1,"Renaissance castle immortalised as Elsinore in Shakespeare's Hamlet. Guards the narrow strait between Denmark and Sweden. A UNESCO World Heritage Site of extraordinary beauty",56.0378,12.6136,yes,no,yes
5,roskilde-cathedral,Roskilde Cathedral,Cathedral,Roskilde,2,"Gothic cathedral and UNESCO World Heritage Site that has been the burial site of Danish kings and queens since the 12th century. Contains 40 royal tombs",55.6415,12.0803,yes,no,yes
6,legoland,Legoland Billund,Theme Park,Billund,3,"The original Legoland, opened 1968 in the hometown of LEGO. A beloved family theme park where everything is made from LEGO bricks. Attracts millions of visitors annually",55.7333,9.1267,yes,no,no
7,ribe,Ribe Old Town,Historic Town,Ribe,3,"Denmark's oldest and best-preserved medieval town. Founded around 710 AD. Walking through Ribe is like stepping back in time with its cobblestone streets and Viking museum",55.3237,8.7603,no,yes,no
8,den-gamle-by,Den Gamle By (The Old Town Museum),Open Air Museum,Aarhus,4,"World's first open-air urban history museum. An entire historical town reconstructed with period-accurate shops, homes and workshops spanning Danish history from the 1600s to 1970s",56.1624,10.1994,yes,no,no
9,skagen,Skagen (Grenen),Natural Landmark,Skagen,5,"The northernmost tip of Denmark where the North Sea and Baltic Sea visibly meet. A mystical, windswept peninsula beloved by Danish artists. The Skagen Painters made this place world-famous",57.7440,10.6327,no,yes,no
10,louisiana,Louisiana Museum of Modern Art,Museum,Humlebæk,1,"One of Scandinavia's most celebrated art museums perched dramatically on the coast of Øresund. World-class collection of modern art in a stunning landscape setting",55.9620,12.5401,yes,no,no
11,smk,National Gallery of Denmark (SMK),Museum,Copenhagen,1,"Denmark's largest art museum housing Danish and international art from 700 years of history. Features works by Rembrandt, Rubens, Matisse and the finest collection of Danish Golden Age painting",55.6862,12.5774,yes,no,no
12,freetown-christiania,Freetown Christiania,Alternative Community,Copenhagen,1,"A famous self-governing commune established in 1971 by squatters in a former military area. A unique social experiment and Copenhagen's most controversial and colourful neighbourhood",55.6736,12.5959,no,yes,no
