id,country_id,year,era,event_title,description,significance
1,1,793,Viking Age,Viking Age Begins,"The raid on Lindisfarne monastery in England marks the start of the Viking Age. Danish Vikings expand across Europe, establishing settlements from Normandy to Russia.",Critical
2,1,958,Viking Age,Harald Bluetooth Unifies Denmark,"Harald Bluetooth unifies the Danish tribes and converts to Christianity, creating the Kingdom of Denmark. The Bluetooth technology is named after him for connecting devices as he connected tribes.",Critical
3,1,1015,Medieval,Canute the Great,"Danish King Canute rules over Denmark, England, and Norway — one of the most powerful rulers in Europe. The North Sea Empire briefly makes Denmark a European superpower.",High
4,1,1397,Medieval,Kalmar Union,"Denmark leads the Kalmar Union — a personal union uniting Denmark, Norway, and Sweden under one monarch. Denmark is the dominant power in Scandinavia for over a century.",High
5,1,1521,Early Modern,Reformation,"The Protestant Reformation reaches Denmark. King Christian III establishes Lutheranism as the state religion, dissolving Catholic monasteries and reshaping Danish culture.",High
6,1,1658,Early Modern,Treaty of Roskilde,"Sweden defeats Denmark in the Second Northern War. Denmark cedes its southern Swedish provinces — Skåne, Blekinge, and Bornholm (later returned) — permanently shrinking Danish territory.",Critical
7,1,1792,Modern Early,Abolition of Slave Trade,"Denmark becomes the first European country to abolish the trans-Atlantic slave trade — although it took effect only in 1792 and Denmark had significant colonial holdings in the Caribbean.",High
8,1,1849,Modern,Constitutional Monarchy Established,"Denmark peacefully transitions from absolute monarchy to constitutional monarchy with the June Constitution, establishing parliamentary government and civil liberties.",Critical
9,1,1864,Modern,Second Schleswig War,"Prussia and Austria defeat Denmark in a devastating war. Denmark loses Schleswig-Holstein, reducing its territory by a third. This national trauma reshapes Danish identity inward.",Critical
10,1,1920,Modern,Reunification of South Jutland,"After WWI, a referendum returns North Schleswig to Denmark. The current border with Germany is established — celebrated annually as Reunification Day on June 15.",High
11,1,1940,WWII,Nazi Occupation,"Germany occupies Denmark on April 9, 1940. Unlike most occupied nations, the Danish government initially cooperates, maintaining unusual freedoms — but resistance grows.",Critical
12,1,1943,WWII,Rescue of Danish Jews,"In an extraordinary act of courage, ordinary Danes organize to rescue virtually all of Denmark's 7,000 Jews by smuggling them by boat to neutral Sweden overnight.",Critical
13,1,1973,Late Modern,Joins European Community,"Denmark joins the European Economic Community (later EU) after a national referendum. A significant step in European integration though Denmark retains its own currency.",High
14,1,1992,Late Modern,Maastricht Treaty Rejection,"Danish voters reject the Maastricht Treaty in a referendum — a historic shock to European integration. Denmark later ratified after securing opt-outs on defence, currency, and citizenship.",High
15,1,2000,Modern,Oresund Bridge Opens,"The Øresund Bridge connecting Copenhagen with Malmö, Sweden opens — linking Scandinavia to continental Europe and transforming the Copenhagen-Malmö region into a single metropolitan area.",Medium
16,1,2022,Contemporary,Broad Coalition Government,"An unprecedented broad coalition government crossing traditional left-right lines is formed after snap elections — bringing together Social Democrats, centre-right Venstre, and the new Moderates party.",Medium
